,Make,Model,Variant,Ex-Showroom_Price,City_Mileage,Cylinders,Highway_Mileage,Drivetrain,Emission_Norm,Fuel_Type,Body_Type,Kerb_Weight,Gears,Ground_Clearance,Power_Steering,Power,Doors,Type,Audiosystem,Aux-in_Compatibility,Boot_Space,Child_Safety_Locks,Number_of_Airbags
855,Land Rover,Range,4.4L Sdv8 Svautobiography Lwb Diesel,39294685,8.69,8.0,13.5,4WD,BS IV,Diesel,SUV,2687,8,295.0,Electric Power,335bhp@3500rpm,5.0,Automatic,DVD Player with USB & Aux-in,Yes,909,Yes,8.0
856,Land Rover,Range,4.4L Sdv8 Vogue Se Lwb Diesel,23675691,8.69,8.0,13.5,4WD,BS IV,Diesel,SUV,2687,8,295.5,Electric Power,335bhp@3500rpm,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,909,Yes,8.0
857,Land Rover,Range,3.0L V6 Vogue Se Lwb Petrol,21398758,8.1,6.0,11.6,4WD,BS IV,Petrol,SUV,2687,8,295.5,Electric Power,335bhp@6500RPM,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,909,Yes,8.0
858,Maserati,Grancabrio,Standard,19865675,4.0,8.0,6.0,RWD (Rear Wheel Drive),BS IV,Petrol,Convertible,1980,6,128.0,Electro-Hydraulic,450PS@7000rpm,2.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,173,Yes,4.0
859,Maserati,Mercedes-Benz Amg-Gt,S,21583466,5.0,8.0,6.0,AWD (All Wheel Drive),BS IV,Petrol,Coupe,1645,7,128.0,Electro-Hydraulic,510PS@6250rpm,2.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,350,Yes,8.0
860,Maserati,Mercedes-Benz Amg-Gt,R,23264134,5.0,8.0,6.0,AWD (All Wheel Drive),BS IV,Petrol,Coupe,1630,7,128.0,Electro-Hydraulic,585PS@6250rpm,2.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,350,Yes,8.0
861,Maserati,Mercedes-Benz Amg-Gt,Roadster,22733626,5.0,8.0,6.0,AWD (All Wheel Drive),BS IV,Petrol,Coupe,1670,7,128.0,Electro-Hydraulic,476PS@6000rpm,2.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,165,Yes,8.0
862,Maserati,Mercedes-Benz Amg Gt 4-Door Coupe,63 S 4Matic+,24200000,5.0,8.0,6.0,AWD (All Wheel Drive),BS VI,Petrol,Coupe,1670,7,128.0,Electro-Hydraulic,639PS@6250rpm,4.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,165,Yes,8.0
863,Lamborghini,Huracan,Lp 610-4,37133704,5.6,10.0,6.0,AWD (All Wheel Drive),BS IV,Petrol,Coupe,1422,7,135.0,Electric Power,610PS@8250rpm,2.0,Automatic,DVD Player with USB & Aux-in,Yes,70,Yes,4.0
864,Lamborghini,Huracan,Lp 580-2,32452486,5.8,10.0,6.0,RWD (Rear Wheel Drive),BS IV,Petrol,Coupe,1389,7,135.0,Electric Power,580PS@8000rpm,2.0,Automatic,DVD Player with USB & Aux-in,Yes,70,Yes,4.0
865,Lamborghini,Huracan,Avio,35150732,10.6,10.0,6.0,AWD (All Wheel Drive),BS IV,Petrol,Coupe,1422,7,135.0,Electric Power,610PS@8250rpm,2.0,Automatic,DVD Player with USB & Aux-in,Yes,70,Yes,4.0
866,Lamborghini,Huracan,Performante,37614126,5.6,10.0,6.0,AWD (All Wheel Drive),BS IV,Petrol,Coupe,1422,7,135.0,Electric Power,639PS@8250rpm,2.0,Automatic,DVD Player with USB & Aux-in,Yes,70,Yes,4.0
867,Lamborghini,Huracan,Lp 580-2 Spyder,35535000,5.8,10.0,6.0,RWD (Rear Wheel Drive),BS IV,Petrol,Coupe,1389,7,135.0,Electric Power,571 bhp @ 8000 rpm,2.0,Automatic,DVD Player with USB & Aux-in,Yes,70,Yes,4.0
868,Lamborghini,Huracan,Lp 610-4 Spyder,40742932,5.6,10.0,6.0,AWD (All Wheel Drive),BS IV,Petrol,Coupe,1422,7,135.0,Electric Power,602 bhp @ 8250 rpm,2.0,Automatic,DVD Player with USB & Aux-in,Yes,70,Yes,4.0
869,Lamborghini,Huracan,Evo,37300000,5.6,10.0,6.0,AWD (All Wheel Drive),BS IV,Petrol,Coupe,1422,7,135.0,Electric Power,631Bhp@8250rpm,2.0,Automatic,DVD Player with USB & Aux-in,Yes,70,Yes,4.0
870,Lamborghini,Huracan,Evo Spyder,41000000,5.6,10.0,6.0,AWD (All Wheel Drive),BS IV,Petrol,Convertible,1422,7,135.0,Hydraulic Power,631Bhp@8250rpm,2.0,Automatic,DVD Player with USB & Aux-in,Yes,70,Yes,4.0
